[[56.0, 75.0], [55.0, 84.0]] [[166.0, 141.0], [136.0, 152.0]] 96.6901957871 2040691.09013
[[170.0, 103.0], [171.0, 83.0]] [[45.0, 78.0], [29.0, 59.0]] 113.36902504 2042961.30309
[[630.0, 0.0], [171.0, 83.0]] [[29.0, 59.0], [41.0, 49.0]] 146.944201404 2111502.54336
[[56.0, 75.0], [33.0, 61.0]] [[45.0, 78.0], [41.0, 49.0]] 3.49401431412 2111596.62257
[[33.0, 61.0], [43.0, 50.0]] [[29.0, 59.0], [45.0, 78.0]] 10.0727253073 2111746.3644
[[56.0, 75.0], [43.0, 50.0]] [[45.0, 78.0], [20.0, 71.0]] 18.2073430123 2112259.41102
[[33.0, 61.0], [56.0, 75.0]] [[29.0, 59.0], [20.0, 71.0]] 16.4448311493 2112702.20165
[[56.0, 75.0], [48.0, 79.0]] [[170.0, 121.0], [173.0, 99.0]] 103.97441443 2113632.17708
[[33.0, 61.0], [48.0, 79.0]] [[630.0, 0.0], [173.0, 99.0]] 153.63922171 2117232.05912
[[171.0, 83.0], [164.0, 64.0]] [[170.0, 121.0], [166.0, 141.0]] 56.388729974 2118373.84388
[[630.0, 0.0], [164.0, 64.0]] [[166.0, 141.0], [117.0, 130.0]] 137.476980436 2183039.48494
[[171.0, 83.0], [170.0, 103.0]] [[170.0, 121.0], [117.0, 130.0]] 31.968873218 2183679.66112
[[170.0, 103.0], [148.0, 82.0]] [[54.0, 74.0], [41.0, 49.0]] 103.029831249 2186813.19111
[[171.0, 83.0], [148.0, 82.0]] [[41.0, 49.0], [56.0, 48.0]] 108.519334021 2189311.49379
[[43.0, 50.0], [58.0, 49.0]] [[54.0, 74.0], [56.0, 48.0]] 16.6885511153 2189562.37773
[[56.0, 75.0], [58.0, 49.0]] [[41.0, 49.0], [54.0, 74.0]] 8.98400308512 2189796.65187
[[33.0, 61.0], [-630.0, -630.0]] [[54.0, 74.0], [45.0, 78.0]] 381.946100271 2555558.6555
[[99.0, 77.0], [112.0, 62.0]] [[41.0, 49.0], [45.0, 78.0]] 61.1048168271 2556771.55148
[[112.0, 62.0], [119.0, 83.0]] [[173.0, 99.0], [175.0, 77.0]] 52.7946064757 2557940.20992
[[99.0, 77.0], [119.0, 83.0]] [[630.0, 0.0], [175.0, 77.0]] 98.981516201 2560007.00465
[[112.0, 62.0], [99.0, 77.0]] [[173.0, 99.0], [170.0, 121.0]] 77.0926388124 2561537.24984
[[99.0, 77.0], [87.0, 62.0]] [[170.0, 121.0], [142.0, 86.0]] 54.09076978511132 2562576.2996
